HAN-SAN-QI	Gene_ID:1652	@<<GADExtractor>> PMID: 16114092 #En1: Radix Notoginseng #En2: DDT *KeyWords: null /***1
HANG-SHAO	Gene_ID:2048	@<<GADExtractor>> PMID: 29201187 #En1: Radix Paeoniae Alba #En2: ERK *KeyWords: better /***1
HANG-SHAO	Gene_ID:1385	@<<GADExtractor>> PMID: 29201187 #En1: Radix Paeoniae Alba #En2: CREB *KeyWords: better /***1
HANG-SHAO	Gene_ID:627	@<<GADExtractor>> PMID: 29201187 #En1: Radix Paeoniae Alba #En2: BDNF *KeyWords: better /***1
HANG-SHAO	Gene_ID:80218	@<<GADExtractor>> PMID: 25217704 #En1: Radix Paeoniae Alba #En2: San *KeyWords: null /@<<GADExtractor>> PMID: 10453576 #En1: white Peony Root #En2: San *KeyWords: null /***2
HANG-SHAO	Gene_ID:2811	@<<GADExtractor>> PMID: 25217704 #En1: Radix Paeoniae Alba #En2: BSS *KeyWords: null /***1
HANG-SHAO	Gene_ID:5972	@<<GADExtractor>> PMID: 22462235 #En1: Radix Paeoniae Alba #En2: Ren *KeyWords: null /***1
HANG-SHAO	Gene_ID:1392	@<<GADExtractor>> PMID: 29248448 #En1: Radix Paeoniae alba #En2: CRF *KeyWords: cause /***1
HANG-SHAO	Gene_ID:10882	@<<GADExtractor>> PMID: 29248448 #En1: Radix Paeoniae alba #En2: CRF *KeyWords: cause /***1
HANG-SHAO	Gene_ID:5266	@<<GADExtractor>> PMID: 17518052 #En1: Radix Paeoniae Alba #En2: ESI *KeyWords: null /***1
CHI-SHAO	Gene_ID:2520	@<<GADExtractor>> PMID: 16539851 #En1: Radix paeoniae rubra #En2: gas *KeyWords: null /***1
CHI-SHAO	Gene_ID:79447	@<<GADExtractor>> PMID: 16539851 #En1: Radix paeoniae rubra #En2: gas *KeyWords: null /***1
CHI-SHAO	Gene_ID:3680	@<<GADExtractor>> PMID: 16539851 #En1: Radix paeoniae rubra #En2: RLC *KeyWords: null /***1
CHI-SHAO	Gene_ID:2137	@<<GADExtractor>> PMID: 16539851 #En1: Radix paeoniae rubra #En2: RPR *KeyWords: null /@<<GADExtractor>> PMID: 27446367 #En1: Radix Paeoniae Rubra #En2: RPR *KeyWords: null /@<<GADExtractor>> PMID: 22543176 #En1: Radix Paeoniae Rubra #En2: RPR *KeyWords: null /@<<GADExtractor>> PMID: 27521818 #En1: red peony root #En2: RPR *KeyWords: null /@<<GADExtractor>> PMID: 25151277 #En1: red peony root #En2: RPR *KeyWords: null /@<<GADExtractor>> PMID: 16025967 #En1: red peony root #En2: RPR *KeyWords: null /***6
CHI-SHAO	Gene_ID:173	@<<GADExtractor>> PMID: 18424022 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18424022 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18424022 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: absorbed /@<<GADExtractor>> PMID: 18424022 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18424022 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18424022 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: decreased /@<<GADExtractor>> PMID: 18453201 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18453201 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18453201 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: have /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 23060699 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 23060699 #En1: Radix Paeoniae Rubra #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 30144752 #En1: red peony root #En2: Alba *KeyWords: null /***20
CHI-SHAO	Gene_ID:5290	@<<GADExtractor>> PMID: 28549860 #En1: Radix paeoniae rubra #En2: PI3K *KeyWords: protects /***1
CHI-SHAO	Gene_ID:5294	@<<GADExtractor>> PMID: 28549860 #En1: Radix paeoniae rubra #En2: PI3K *KeyWords: protects /***1
CHI-SHAO	Gene_ID:5293	@<<GADExtractor>> PMID: 28549860 #En1: Radix paeoniae rubra #En2: PI3K *KeyWords: protects /***1
CHI-SHAO	Gene_ID:5295	@<<GADExtractor>> PMID: 28549860 #En1: Radix paeoniae rubra #En2: PI3K *KeyWords: protects /***1
CHI-SHAO	Gene_ID:207	@<<GADExtractor>> PMID: 28549860 #En1: Radix paeoniae rubra #En2: AKT *KeyWords: protects /***1
CHI-SHAO	Gene_ID:2475	@<<GADExtractor>> PMID: 28549860 #En1: Radix paeoniae rubra #En2: mTOR *KeyWords: protects /***1
CHI-SHAO	Gene_ID:4137	@<<GADExtractor>> PMID: 19157131 #En1: Radix Paeoniae Rubra #En2: tau *KeyWords: null /***1
CHI-SHAO	Gene_ID:165904	@<<GADExtractor>> PMID: 16377116 #En1: Radix Paeoniae Rubra #En2: Xin *KeyWords: null /***1
CHI-SHAO	Gene_ID:348	@<<GADExtractor>> PMID: 15892282 #En1: Radix Paeoniae rubra #En2: ApoE *KeyWords: null /***1
KU-JIE-GENG	Gene_ID:165904	@<<GADExtractor>> PMID: 19385174 #En1: Radix Platycodi #En2: xin *KeyWords: null /***1
KU-JIE-GENG	Gene_ID:5972	@<<GADExtractor>> PMID: 22462235 #En1: Radix Platycodi #En2: Ren *KeyWords: null /***1
HAI-ER-SHEN	Gene_ID:26155	@<<GADExtractor>> PMID: 19616914 #En1: Radix Pseudostellariae #En2: NIR *KeyWords: using /@<<GADExtractor>> PMID: 19616914 #En1: Radix Pseudostellariae #En2: NIR *KeyWords: null /@<<GADExtractor>> PMID: 19616914 #En1: Radix Pseudostellariae #En2: NIR *KeyWords: null /***3
HAI-ER-SHEN	Gene_ID:722	@<<GADExtractor>> PMID: 20008077 #En1: Radix Pseudostellariae #En2: PRP *KeyWords: null /***1
HAI-ER-SHEN	Gene_ID:5621	@<<GADExtractor>> PMID: 20008077 #En1: Radix Pseudostellariae #En2: PRP *KeyWords: null /***1
DI-HUANG	Gene_ID:173	@<<GADExtractor>> PMID: 28868875 #En1: Radix Rehmanniae #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 30028337 #En1: Radix Rehmanniae #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 26421050 #En1: Radix Rehmanniae #En2: Alba *KeyWords: inhibited /***3
DI-HUANG	Gene_ID:1822	@<<GADExtractor>> PMID: 28394931 #En1: Radix Rehmanniae #En2: HRS *KeyWords: null /***1
DI-HUANG	Gene_ID:6117	@<<GADExtractor>> PMID: 26421050 #En1: Radix Rehmanniae #En2: RPA *KeyWords: inhibited /***1
DI-HUANG	Gene_ID:10687	@<<GADExtractor>> PMID: 18382110 #En1: Radix Rehmanniae #En2: mm2 *KeyWords: null /@<<GADExtractor>> PMID: 18382110 #En1: Radix Rehmanniae #En2: mm2 *KeyWords: smaller /***2
QIAN-CAO	Gene_ID:836	@<<GADExtractor>> PMID: 17912459 #En1: Radix Rubiae #En2: caspase-3 *KeyWords: activate /***1
YUAN-SHEN	Gene_ID:26155	@<<GADExtractor>> PMID: 29869631 #En1: Radix Scrophulariae #En2: NIR *KeyWords: null /***1
YUAN-SHEN	Gene_ID:2954	@<<GADExtractor>> PMID: 22750436 #En1: Radix Scrophulariae #En2: Mai *KeyWords: null /***1
FEN-FANG-JI	Gene_ID:801	@<<GADExtractor>> PMID: 13680054 #En1: Radix Stephaniae Tetrandrae #En2: CAM *KeyWords: null /***1
FEN-FANG-JI	Gene_ID:79823	@<<GADExtractor>> PMID: 13680054 #En1: Radix Stephaniae Tetrandrae #En2: CAM *KeyWords: null /***1
FEN-FANG-JI	Gene_ID:116085	@<<GADExtractor>> PMID: 13680054 #En1: Radix Stephaniae Tetrandrae #En2: RST *KeyWords: null /@<<GADExtractor>> PMID: 11789286 #En1: Radix Stephaniae Tetrandrae #En2: RST *KeyWords: null /***2
HUA-FEN	Gene_ID:1999	@<<GADExtractor>> PMID: 31085225 #En1: radix trichosanthis #En2: ERT *KeyWords: null /@<<GADExtractor>> PMID: 31085225 #En1: radix trichosanthis #En2: ERT *KeyWords: null /@<<GADExtractor>> PMID: 31085225 #En1: radix trichosanthis #En2: ERT *KeyWords: null /***3
CAO-DI-MAO-GEN	Gene_ID:81502	@<<GADExtractor>> PMID: 19415338 #En1: Ranunculus acris #En2: spp *KeyWords: null /***1
CAO-DI-MAO-GEN	Gene_ID:29940	@<<GADExtractor>> PMID: 11968944 #En1: Ranunculus acris #En2: DSE *KeyWords: null /***1
LAI-FU	Gene_ID:100	@<<GADExtractor>> PMID: 30987561 #En1: Raphanus sativus #En2: ADA *KeyWords: demonstrated /***1
HONG-CHE-ZHOU-CAO	Gene_ID:7832	@<<GADExtractor>> PMID: 14666653 #En1: red clover #En2: PC3 *KeyWords: bearing /***1
HONG-CHE-ZHOU-CAO	Gene_ID:10777	@<<GADExtractor>> PMID: 31885485 #En1: red clover #En2: RCS *KeyWords: null /***1
HONG-CHE-ZHOU-CAO	Gene_ID:5465	@<<GADExtractor>> PMID: 19779008 #En1: red clover #En2: PPAR *KeyWords: null /@<<GADExtractor>> PMID: 19779008 #En1: Trifolium pratense #En2: PPAR *KeyWords: null /***2
HONG-SHEN	Gene_ID:1565	@<<GADExtractor>> PMID: 32215046 #En1: red ginseng #En2: CYP2D6 *KeyWords: inhibit /@<<GADExtractor>> PMID: 32215046 #En1: red ginseng #En2: CYP2D6 *KeyWords: inhibit /***2
HONG-SHEN	Gene_ID:1555	@<<GADExtractor>> PMID: 32215046 #En1: red ginseng #En2: CYP2B6 *KeyWords: inhibit /@<<GADExtractor>> PMID: 32215046 #En1: red ginseng #En2: CYP2B6 *KeyWords: inhibit /***2
HONG-SHEN	Gene_ID:1544	@<<GADExtractor>> PMID: 32215046 #En1: red ginseng #En2: CYP1A2 *KeyWords: inhibit /@<<GADExtractor>> PMID: 32215046 #En1: red ginseng #En2: CYP1A2 *KeyWords: inhibit /***2
HONG-SHEN	Gene_ID:1576	@<<GADExtractor>> PMID: 32215046 #En1: red ginseng #En2: CYP3A4 *KeyWords: inhibit /@<<GADExtractor>> PMID: 32215046 #En1: red ginseng #En2: CYP3A4 *KeyWords: inhibit /***2
HONG-SHEN	Gene_ID:1559	@<<GADExtractor>> PMID: 32215046 #En1: red ginseng #En2: CYP2C9 *KeyWords: inhibit /@<<GADExtractor>> PMID: 32215046 #En1: red ginseng #En2: CYP2C9 *KeyWords: inhibit /***2
HONG-SHEN	Gene_ID:28982	@<<GADExtractor>> PMID: 22742921 #En1: red ginseng #En2: PCA *KeyWords: discriminated /***1
HONG-SHEN	Gene_ID:559	@<<GADExtractor>> PMID: 22742921 #En1: red ginseng #En2: PCA *KeyWords: discriminated /***1
HONG-SHEN	Gene_ID:6794	@<<GADExtractor>> PMID: 23506615 #En1: Red ginseng #En2: LKB1 *KeyWords: abrogates /***1
HONG-SHEN	Gene_ID:5562	@<<GADExtractor>> PMID: 23506615 #En1: Red ginseng #En2: AMPK *KeyWords: abrogates /***1
HONG-SHEN	Gene_ID:5563	@<<GADExtractor>> PMID: 23506615 #En1: Red ginseng #En2: AMPK *KeyWords: abrogates /***1
HONG-SHEN	Gene_ID:6098	@<<GADExtractor>> PMID: 23506615 #En1: red ginseng #En2: ROS *KeyWords: null /***1
HONG-SHEN	Gene_ID:5925	@<<GADExtractor>> PMID: 28086165 #En1: red ginseng #En2: Rb1 *KeyWords: coupled /@<<GADExtractor>> PMID: 23263512 #En1: red ginseng #En2: Rb1 *KeyWords: null /***2
HONG-SHEN	Gene_ID:5934	@<<GADExtractor>> PMID: 28086165 #En1: red ginseng #En2: Rb2 *KeyWords: coupled /@<<GADExtractor>> PMID: 23263512 #En1: red ginseng #En2: Rb2 *KeyWords: null /***2
HONG-SHEN	Gene_ID:3664	@<<GADExtractor>> PMID: 26923348 #En1: red ginseng #En2: LPS *KeyWords: null /***1
