AI-TANG	MESH:D011470	0 @@PMID: 26137029 #En1: Ai Tang #En2: benign prostatic hyperplasia *KeyWords: null/count: 1
DA-HUANG	MESH:D015794	0 @@PMID: 28840678 #En1: Dahuang #En2: CHM *KeyWords: ameliorate/count: 1
DA-HUANG	MESH:D051437	0 @@PMID: 28840678 #En1: Dahuang #En2: renal failure *KeyWords: ameliorate/count: 1
DA-HUANG	MESH:D013577	0 @@PMID: 18418965 #En1: Dahuang #En2: dampness-phlegm syndrome *KeyWords: null/1 @@PMID: 18418965 #En1: Dahuang #En2: qi-deficiency syndrome *KeyWords: null/count: 2
DA-HUANG	MESH:D016711	0 @@PMID: 18418965 #En1: Dahuang #En2: yang-excess syndrome *KeyWords: null/count: 1
DA-HUANG	MESH:D003924	0 @@PMID: 27468544 #En1: Dahuang #En2: type 2 diabetes mellitus *KeyWords: treat/count: 1
DA-HUANG	MESH:D008171	0 @@PMID: 19216863 #En1: Dahuang #En2: lung diseases *KeyWords: treating/count: 1
DA-HUANG	MESH:D013272	0 @@PMID: 19216863 #En1: Dahuang #En2: stomach diseases *KeyWords: treating/count: 1
DA-HUANG	MESH:D012021	0 @@PMID: 25911807 #En1: Dahuang #En2: adhesiveness extremely decreased *KeyWords: improved/count: 1
DA-HUANG	MESH:D029461	0 @@PMID: 12632517 #En1: Dahuang #En2: SD *KeyWords: null/count: 1
GAN-LI	MESH:D001855	0 @@PMID: 19173217 #En1: Gan Li #En2: bone marrow haemopoiesis *KeyWords: null/1 @@PMID: 19173217 #En1: Gan Li #En2: bone marrow haemopoietic stem *KeyWords: were/2 @@PMID: 19173217 #En1: Gan Li #En2: bone marrow haemopoietic function *KeyWords: found/3 @@PMID: 19173217 #En1: Gan Li #En2: bone marrow haemopoiesis *KeyWords: null/4 @@PMID: 19173217 #En1: Gan Li #En2: bone marrow haemopoietic stem *KeyWords: were/5 @@PMID: 19173217 #En1: Gan Li #En2: bone marrow haemopoietic function *KeyWords: found/count: 6
HAN-TANG	MESH:D005334	0 @@PMID: 24524633 #En1: Han-Tang #En2: fever diseases *KeyWords: containing/1 @@PMID: 24524633 #En1: Han-Tang #En2: fever diseases *KeyWords: containing/count: 2
HAN-TANG	MESH:D010264	0 @@PMID: 24524633 #En1: Han-Tang #En2: lower extremities *KeyWords: containing/1 @@PMID: 24524633 #En1: Han-Tang #En2: lower extremities *KeyWords: containing/count: 2
JIN-YAO	MESH:D004671	0 @@PMID: 17144193 #En1: jin yao #En2: epidemic disease *KeyWords: spreaded/count: 1
LI-GAO	MESH:D003741	0 @@PMID: 19824358 #En1: LI gao #En2: Classic of Materia Medica *KeyWords: null/1 @@PMID: 22343697 #En1: Li Gao #En2: Classic of Materia Medica *KeyWords: null/2 @@PMID: 22343697 #En1: Li Gao #En2: Classic of Materia Medica *KeyWords: null/3 @@PMID: 22343697 #En1: Li Gao #En2: Materia Medica *KeyWords: assessed/4 @@PMID: 19824358 #En1: LI gao #En2: Classic of Materia Medica *KeyWords: null/count: 5
LING-DAN	MESH:D001168	0 @@PMID: 17080548 #En1: Ling Dan #En2: arthritis *KeyWords: used/1 @@PMID: 20981317 #En1: ling dan #En2: arthritis *KeyWords: has/2 @@PMID: 25641883 #En1: Ling Dan #En2: arthritis *KeyWords: treating/3 @@PMID: 27062714 #En1: Ling Dan #En2: arthritis *KeyWords: null/4 @@PMID: 24806456 #En1: Ling Dan #En2: arthritis *KeyWords: used/5 @@PMID: 24806456 #En1: Ling Dan #En2: arthritis *KeyWords: used/count: 6
LING-DAN	MESH:D001169	0 @@PMID: 19100323 #En1: Ling Dan #En2: adjuvant arthritis *KeyWords: inhibited/1 @@PMID: 19100323 #En1: Ling Dan #En2: adjuvant arthritis *KeyWords: inhibited/count: 2
LING-DAN	MESH:D017202	0 @@PMID: 25733819 #En1: Ling Dan #En2: ischemia-induced myocardial injury *KeyWords: null/count: 1
LING-DAN	MESH:D001172	0 @@PMID: 29474901 #En1: Ling Dan #En2: rheumatoid arthritis *KeyWords: null/1 @@PMID: 29474901 #En1: Ling Dan #En2: rheumatoid arthritis *KeyWords: used/count: 2
LING-DAN	OMIM:108985	0 @@PMID: 20981317 #En1: ling dan #En2: AA *KeyWords: has/count: 1
LING-DAN	MESH:D009461	0 @@PMID: 20179756 #En1: Ling Dan #En2: FINDINGS *KeyWords: evaluated/count: 1
MO-YAO	MESH:C538659	0 @@PMID: 24660597 #En1: Moyao #En2: Cortex Erythrinae Variegatae *KeyWords: null/count: 1
REN-DAN	MESH:D050197	0 @@PMID: 30402125 #En1: Rendan #En2: Atherosclerosis *KeyWords: null/count: 1
REN-DAN	MESH:D009103	0 @@PMID: 26613237 #En1: Rendan #En2: HPLC-MS/MS *KeyWords: null/1 @@PMID: 26613237 #En1: Rendan #En2: HPLC-MS/MS *KeyWords: null/count: 2
SHEN-JIAN	MESH:D001943	0 @@PMID: 29059538 #En1: Shen Jian #En2: breast cancer *KeyWords: relieve/1 @@PMID: 29059538 #En1: Shen Jian #En2: breast cancer *KeyWords: relieve/count: 2
SHEN-SAN	MESH:D017098	0 @@PMID: 16173535 #En1: Shen San #En2: IgA nephropathy *KeyWords: null/count: 1
SHI-GAO	MESH:D003139	0 @@PMID: 10743192 #En1: Shi Gao #En2: deficiency cold syndrome *KeyWords: made/1 @@PMID: 10743192 #En1: Shi Gao #En2: deficiency cold syndrome *KeyWords: made/count: 2
SHI-GAO	MESH:D002137	0 @@PMID: 23583735 #En1: Shigao #En2: Bovis Calculus Artificialis *KeyWords: null/count: 1
SHI-GAO	MESH:D004941	0 @@PMID: 28035542 #En1: Shigao #En2: esophagitis *KeyWords: null/1 @@PMID: 28035542 #En1: Shigao #En2: esophagitis *KeyWords: null/2 @@PMID: 21486557 #En1: Shigao #En2: esophagitis *KeyWords: null/3 @@PMID: 21486557 #En1: Shigao #En2: esophagitis *KeyWords: null/count: 4
SHI-GAO	MESH:D009369	0 @@PMID: 28035542 #En1: Shigao #En2: cancer *KeyWords: null/1 @@PMID: 28035542 #En1: Shigao #En2: cancer *KeyWords: null/count: 2
SHI-GAO	MESH:D012216	0 @@PMID: 15555253 #En1: shigao #En2: rheumatism *KeyWords: null/count: 1
SHI-GAO	MESH:D005764	0 @@PMID: 15555253 #En1: shigao #En2: gastro-enteropathy *KeyWords: null/count: 1
XIANG-FU	MESH:C536652	0 @@PMID: 31369833 #En1: Xiangfu #En2: rhizoma of Cyperus rotundus L *KeyWords: null/1 @@PMID: 31369833 #En1: Xiangfu #En2: rhizoma of Cyperus rotundus L *KeyWords: null/count: 2
XIANG-FU	MESH:D007319	0 @@PMID: 32281361 #En1: Xiangfu #En2: menopausal insomnia *KeyWords: null/1 @@PMID: 32281361 #En1: Xiangfu #En2: menopausal insomnia *KeyWords: null/2 @@PMID: 32281361 #En1: Xiangfu #En2: menopausal insomnia *KeyWords: improve/count: 3
XIANG-FU	MESH:D016649	0 @@PMID: 28920349 #En1: Xiangfu #En2: ovary of primary dysmenorrheal *KeyWords: null/1 @@PMID: 28920349 #En1: Xiangfu #En2: ovary of primary dysmenorrheal *KeyWords: treating/2 @@PMID: 28920349 #En1: Xiangfu #En2: ovary of primary dysmenorrheal *KeyWords: null/count: 3
XIANG-FU	MESH:D009103	0 @@PMID: 28920349 #En1: Xiangfu #En2: MS *KeyWords: null/count: 1
XIANG-FU	MESH:D004412	0 @@PMID: 28920349 #En1: Xiangfu #En2: dysmenorrhea *KeyWords: treating/1 @@PMID: 28920349 #En1: Xiangfu #En2: dysmenorrhea *KeyWords: null/count: 2
XIANG-FU	MESH:D009202	0 @@PMID: 28920349 #En1: Xiangfu #En2: primary dysmenorrheal *KeyWords: null/count: 1
YU-TANG	MESH:D005764	0 @@PMID: 30668332 #En1: yu tang #En2: gastroesophageal reflux disease *KeyWords: null/1 @@PMID: 30668332 #En1: yu tang #En2: gastroesophageal reflux disease *KeyWords: null/count: 2
YU-TANG	MESH:D003967	0 @@PMID: 30668332 #En1: yu tang #En2: diarrhea *KeyWords: used/1 @@PMID: 30668332 #En1: yu tang #En2: diarrhea *KeyWords: used/count: 2
ZHANG-DAN	MESH:D008103	0 @@PMID: 21304620 #En1: Zhang Dan #En2: hepatic fibrosis *KeyWords: composed/count: 1
(SZ-A)TABLET	MESH:D003924	0 @@PMID: 27547230 #En1: (SZ-A) tablet #En2: type 2 diabetes *KeyWords: null/count: 1
ACONITIPRAEPARATAE DECOCTION	OMIM:136900	0 @@PMID: 18394836 #En1: Aconiti Praeparatae Decoction #En2: SFD *KeyWords: null/count: 1
ALISMA DECOCTION	MESH:D000544	0 @@PMID: 24504056 #En1: Alisma Decoction #En2: AD *KeyWords: null/count: 1
ALISMA DECOCTION	MESH:D002539	0 @@PMID: 24504056 #En1: Alisma Decoction #En2: cerebral diseases *KeyWords: treat/count: 1
ALKALOIDTABLET	MESH:D004362	0 @@PMID: 27547230 #En1: Alkaloid Tablet #En2: Safety of Mulberry Twig *KeyWords: null/count: 1
ALKALOIDTABLET	MESH:D003924	0 @@PMID: 27547230 #En1: Alkaloid Tablet #En2: Type 2 Diabetes Mellitus *KeyWords: null/count: 1
AN-LU-YIN	MESH:D015794	0 @@PMID: 28122837 #En1: an Lu Yin #En2: CHM *KeyWords: null/1 @@PMID: 30985039 #En1: an-Lu-Yin #En2: CHM *KeyWords: null/count: 2
AN-LU-YIN	MESH:D002549	0 @@PMID: 28122837 #En1: an Lu Yin #En2: Hedyotis diffusa *KeyWords: null/count: 1
AN-SHEN-DING-ZHI-WAN	MESH:D006331	0 @@PMID: 23259001 #En1: An Shen Ding Zhi Wan #En2: deficiency of both the heart *KeyWords: used/1 @@PMID: 23259001 #En1: An Shen Ding Zhi Wan #En2: deficiency of the heart *KeyWords: null/count: 2
AN-SHEN-DING-ZHI-WAN	MESH:D005705	0 @@PMID: 23259001 #En1: An Shen Ding Zhi Wan #En2: gallbladder *KeyWords: null/count: 1
AN-SHEN-YIN	MESH:D000690	0 @@PMID: 29403392 #En1: an Shen Yin #En2: Gua Lou Xie Bai Ban Xia Tang *KeyWords: null/1 @@PMID: 29403392 #En1: an Shen Yin #En2: Gua Lou Xie Bai Ban Xia Tang *KeyWords: null/count: 2
AN-SHEN-YIN	MESH:D006509	0 @@PMID: 30584450 #En1: an Shen Yin #En2: Hepatitis B Cirrhosis *KeyWords: null/1 @@PMID: 30584450 #En1: an Shen Yin #En2: hepatitis B cirrhosis *KeyWords: null/count: 2
AN-SHEN-YIN	MESH:D013577	0 @@PMID: 30650269 #En1: an- Shen yin #En2: deficiency syndrome *KeyWords: null/1 @@PMID: 17990456 #En1: an-Shen yin #En2: deficient syndrome *KeyWords: deficient/2 @@PMID: 21275169 #En1: an-Shen yin #En2: deficiency syndrome *KeyWords: null/3 @@PMID: 21910339 #En1: an-Shen yin #En2: Pi-Shen deficiency syndrome *KeyWords: null/4 @@PMID: 21910339 #En1: an-Shen yin #En2: Pi-Shen deficiency syndrome *KeyWords: seen/5 @@PMID: 21910339 #En1: an-Shen yin #En2: deficiency syndrome *KeyWords: seen/6 @@PMID: 21910339 #En1: an-Shen yin #En2: Pi-Shen deficiency syndrome *KeyWords: null/7 @@PMID: 21910339 #En1: an-Shen yin #En2: deficiency syndrome *KeyWords: null/8 @@PMID: 21910339 #En1: an-Shen yin #En2: Pi-Shen deficiency syndrome *KeyWords: null/9 @@PMID: 21910339 #En1: an-Shen yin #En2: deficiency syndrome *KeyWords: null/10 @@PMID: 21910339 #En1: an-Shen yin #En2: deficiency syndrome *KeyWords: null/11 @@PMID: 23163138 #En1: an-Shen yin #En2: Pi-deficiency syndrome *KeyWords: null/12 @@PMID: 24063211 #En1: an-Shen yin #En2: CM syndrome *KeyWords: null/13 @@PMID: 24063211 #En1: an-Shen yin #En2: deficiency syndrome *KeyWords: null/14 @@PMID: 25046951 #En1: an-Shen yin #En2: deficiency syndrome *KeyWords: null/15 @@PMID: 25046951 #En1: an-Shen yin #En2: deficiency syndrome *KeyWords: null/16 @@PMID: 25046951 #En1: an-Shen yin #En2: Pi-Wei qi deficiency syndrome *KeyWords: null/17 @@PMID: 17990456 #En1: an-Shen yin #En2: deficient syndrome *KeyWords: deficient/18 @@PMID: 21275169 #En1: an-Shen yin #En2: deficiency syndrome *KeyWords: null/19 @@PMID: 25046951 #En1: an-Shen yin #En2: deficiency syndrome *KeyWords: null/20 @@PMID: 25046951 #En1: an-Shen yin #En2: deficiency syndrome *KeyWords: null/21 @@PMID: 25046951 #En1: an-Shen yin #En2: Pi-Wei qi deficiency syndrome *KeyWords: null/22 @@PMID: 21066887 #En1: an-Shen yin #En2: CM syndrome *KeyWords: null/23 @@PMID: 17526164 #En1: an-Shen yin #En2: Pi deficiency syndrome *KeyWords: null/24 @@PMID: 24483109 #En1: an-Shen yin #En2: Pi-deficiency syndrome *KeyWords: null/25 @@PMID: 24517054 #En1: an-Shen yin #En2: CM syndrome *KeyWords: null/26 @@PMID: 30641623 #En1: an-Shen yin #En2: Pi-Shen deficiency syndrome *KeyWords: null/27 @@PMID: 30641623 #En1: an-Shen yin #En2: Pi-Shen deficiency syndrome *KeyWords: null/28 @@PMID: 30641623 #En1: an-Shen yin #En2: Pi-Shen deficiency syndrome *KeyWords: null/29 @@PMID: 21425569 #En1: an-Shen yin #En2: Pi deficiency syndrome *KeyWords: null/count: 30
